PassengerId,Name,Pclass,Sex,Ticket,Cabin
1,"Braund, Mr. Owen Harris",3,male,A/5 21171,
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,female,PC 17599,C85
3,"Heikkinen, Miss. Laina",3,female,STON/O2. 3101282,
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,female,113803,C123
5,"Allen, Mr. William Henry",3,male,373450,
6,"Moran, Mr. James",3,male,330877,
7,"McCarthy, Mr. Timothy J",1,male,17463,E46
8,"Palsson, Master. Gosta Leonard",3,male,349909,
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",3,female,347742,
10,"Nasser, Mrs. Nicholas (Adele Achem)",2,female,237736,
11,"Sandstrom, Miss. Marguerite Rut",3,female,PP 9549,G6
12,"Bonnell, Miss. Elizabeth",1,female,113783,C103
13,"Saundercock, Mr. William Henry",3,male,A/5. 2151,
14,"Andersson, Mr. Anders Johan",3,male,347082,
15,"Vestrom, Miss. Hulda Amanda Adolfina",3,female,350406,
16,"Hewlett, Mrs. (Mary D Kingcome) ",2,female,248706,
17,"Rice, Master. Eugene",3,male,382652,
18,"Williams, Mr. Charles Eugene",2,male,244373,
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",3,female,345763,
20,"Masselmani, Mrs. Fatima",3,female,2649,
21,"Fynney, Mr. Joseph J",2,male,239865,
22,"Beesley, Mr. Lawrence",2,male,248698,D56
23,"McGowan, Miss. Anna ""Annie""",3,female,330923,
24,"Sloper, Mr. William Thompson",1,male,113788,A6
25,"Palsson, Miss. Torborg Danira",3,female,349909,
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,female,347077,
27,"Emir, Mr. Farred Chehab",3,male,2631,
28,"Fortune, Mr. Charles Alexander",1,male,19950,C23 C25 C27
29,"O'Dwyer, Miss. Ellen ""Nellie""",3,female,330959,
30,"Todoroff, Mr. Lalio",3,male,349216,
31,"Uruchurtu, Don. Manuel E",1,male,PC 17601,
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,female,PC 17569,B78
33,"Glynn, Miss. Mary Agatha",3,female,335677,
34,"Wheadon, Mr. Edward H",2,male,C.A. 24579,
35,"Meyer, Mr. Edgar Joseph",1,male,PC 17604,
36,"Holverson, Mr. Alexander Oskar",1,male,113789,
37,"Mamee, Mr. Hanna",3,male,2677,
38,"Cann, Mr. Ernest Charles",3,male,A./5. 2152,
39,"Vander Planke, Miss. Augusta Maria",3,female,345764,
40,"Nicola-Yarred, Miss. Jamila",3,female,2651,
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,female,7546,
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",2,female,11668,
43,"Kraeff, Mr. Theodor",3,male,349253,
44,"Laroche, Miss. Simonne Marie Anne Andree",2,female,SC/Paris 2123,
45,"Devaney, Miss. Margaret Delia",3,female,330958,
46,"Rogers, Mr. William John",3,male,S.C./A.4. 23567,
47,"Lennon, Mr. Denis",3,male,370371,
48,"O'Driscoll, Miss. Bridget",3,female,14311,
49,"Samaan, Mr. Youssef",3,male,2662,
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",3,female,349237,
51,"Panula, Master. Juha Niilo",3,male,3101295,
52,"Nosworthy, Mr. Richard Cater",3,male,A/4. 39886,
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,female,PC 17572,D33
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",2,female,2926,
55,"Ostby, Mr. Engelhart Cornelius",1,male,113509,B30
56,"Woolner, Mr. Hugh",1,male,19947,C52
57,"Rugg, Miss. Emily",2,female,C.A. 31026,
58,"Novel, Mr. Mansouer",3,male,2697,
59,"West, Miss. Constance Mirium",2,female,C.A. 34651,
60,"Goodwin, Master. William Frederick",3,male,CA 2144,
61,"Sirayanian, Mr. Orsen",3,male,2669,
62,"Icard, Miss. Amelie",1,female,113572,B28
63,"Harris, Mr. Henry Birkhardt",1,male,36973,C83
64,"Skoog, Master. Harald",3,male,347088,
65,"Stewart, Mr. Albert A",1,male,PC 17605,
66,"Moubarek, Master. Gerios",3,male,2661,
67,"Nye, Mrs. (Elizabeth Ramell)",2,female,C.A. 29395,F33
68,"Crease, Mr. Ernest James",3,male,S.P. 3464,
69,"Andersson, Miss. Erna Alexandra",3,female,3101281,
70,"Kink, Mr. Vincenz",3,male,315151,
71,"Jenkin, Mr. Stephen Curnow",2,male,C.A. 33111,
72,"Goodwin, Miss. Lillian Amy",3,female,CA 2144,
73,"Hood, Mr. Ambrose Jr",2,male,S.O.C. 14879,
74,"Chronopoulos, Mr. Apostolos",3,male,2680,
75,"Bing, Mr. Lee",3,male,1601,
76,"Moen, Mr. Sigurd Hansen",3,male,348123,F G73
77,"Staneff, Mr. Ivan",3,male,349208,
78,"Moutal, Mr. Rahamin Haim",3,male,374746,
79,"Caldwell, Master. Alden Gates",2,male,248738,
80,"Dowdell, Miss. Elizabeth",3,female,364516,
81,"Waelens, Mr. Achille",3,male,345767,
82,"Sheerlinck, Mr. Jan Baptist",3,male,345779,
83,"McDermott, Miss. Brigdet Delia",3,female,330932,
84,"Carrau, Mr. Francisco M",1,male,113059,
85,"Ilett, Miss. Bertha",2,female,SO/C 14885,
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",3,female,3101278,
87,"Ford, Mr. William Neal",3,male,W./C. 6608,
88,"Slocovski, Mr. Selman Francis",3,male,SOTON/OQ 392086,
89,"Fortune, Miss. Mabel Helen",1,female,19950,C23 C25 C27
90,"Celotti, Mr. Francesco",3,male,343275,
91,"Christmann, Mr. Emil",3,male,343276,
92,"Andreasson, Mr. Paul Edvin",3,male,347466,
93,"Chaffee, Mr. Herbert Fuller",1,male,W.E.P. 5734,E31
94,"Dean, Mr. Bertram Frank",3,male,C.A. 2315,
95,"Coxon, Mr. Daniel",3,male,364500,
96,"Shorney, Mr. Charles Joseph",3,male,374910,
97,"Goldschmidt, Mr. George B",1,male,PC 17754,A5
98,"Greenfield, Mr. William Bertram",1,male,PC 17759,D10 D12
99,"Doling, Mrs. John T (Ada Julia Bone)",2,female,231919,
100,"Kantor, Mr. Sinai",2,male,244367,
101,"Petranec, Miss. Matilda",3,female,349245,
102,"Petroff, Mr. Pastcho (""Pentcho"")",3,male,349215,
103,"White, Mr. Richard Frasar",1,male,35281,D26
104,"Johansson, Mr. Gustaf Joel",3,male,7540,
105,"Gustafsson, Mr. Anders Vilhelm",3,male,3101276,
106,"Mionoff, Mr. Stoytcho",3,male,349207,
107,"Salkjelsvik, Miss. Anna Kristine",3,female,343120,
108,"Moss, Mr. Albert Johan",3,male,312991,
109,"Rekic, Mr. Tido",3,male,349249,
110,"Moran, Miss. Bertha",3,female,371110,
111,"Porter, Mr. Walter Chamberlain",1,male,110465,C110
112,"Zabour, Miss. Hileni",3,female,2665,
113,"Barton, Mr. David John",3,male,324669,
114,"Jussila, Miss. Katriina",3,female,4136,
115,"Attalah, Miss. Malake",3,female,2627,
116,"Pekoniemi, Mr. Edvard",3,male,STON/O 2. 3101294,
117,"Connors, Mr. Patrick",3,male,370369,
118,"Turpin, Mr. William John Robert",2,male,11668,
119,"Baxter, Mr. Quigg Edmond",1,male,PC 17558,B58 B60
120,"Andersson, Miss. Ellis Anna Maria",3,female,347082,
121,"Hickman, Mr. Stanley George",2,male,S.O.C. 14879,
122,"Moore, Mr. Leonard Charles",3,male,A4. 54510,
123,"Nasser, Mr. Nicholas",2,male,237736,
124,"Webber, Miss. Susan",2,female,27267,E101
125,"White, Mr. Percival Wayland",1,male,35281,D26
126,"Nicola-Yarred, Master. Elias",3,male,2651,
127,"McMahon, Mr. Martin",3,male,370372,
128,"Madsen, Mr. Fridtjof Arne",3,male,C 17369,
129,"Peter, Miss. Anna",3,female,2668,F E69
130,"Ekstrom, Mr. Johan",3,male,347061,
131,"Drazenoic, Mr. Jozef",3,male,349241,
132,"Coelho, Mr. Domingos Fernandeo",3,male,SOTON/O.Q. 3101307,
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",3,female,A/5. 3337,
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",2,female,228414,
135,"Sobey, Mr. Samuel James Hayden",2,male,C.A. 29178,
136,"Richard, Mr. Emile",2,male,SC/PARIS 2133,
137,"Newsom, Miss. Helen Monypeny",1,female,11752,D47
138,"Futrelle, Mr. Jacques Heath",1,male,113803,C123
139,"Osen, Mr. Olaf Elon",3,male,7534,
140,"Giglio, Mr. Victor",1,male,PC 17593,B86
141,"Boulos, Mrs. Joseph (Sultana)",3,female,2678,
142,"Nysten, Miss. Anna Sofia",3,female,347081,
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",3,female,STON/O2. 3101279,
144,"Burke, Mr. Jeremiah",3,male,365222,
145,"Andrew, Mr. Edgardo Samuel",2,male,231945,
146,"Nicholls, Mr. Joseph Charles",2,male,C.A. 33112,
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",3,male,350043,
148,"Ford, Miss. Robina Maggie ""Ruby""",3,female,W./C. 6608,
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",2,male,230080,F2
150,"Byles, Rev. Thomas Roussel Davids",2,male,244310,
151,"Bateman, Rev. Robert James",2,male,S.O.P. 1166,
152,"Pears, Mrs. Thomas (Edith Wearne)",1,female,113776,C2
153,"Meo, Mr. Alfonzo",3,male,A.5. 11206,
154,"van Billiard, Mr. Austin Blyler",3,male,A/5. 851,
155,"Olsen, Mr. Ole Martin",3,male,Fa 265302,
156,"Williams, Mr. Charles Duane",1,male,PC 17597,
157,"Gilnagh, Miss. Katherine ""Katie""",3,female,35851,
158,"Corn, Mr. Harry",3,male,SOTON/OQ 392090,
159,"Smiljanic, Mr. Mile",3,male,315037,
160,"Sage, Master. Thomas Henry",3,male,CA. 2343,
161,"Cribb, Mr. John Hatfield",3,male,371362,
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",2,female,C.A. 33595,
163,"Bengtsson, Mr. John Viktor",3,male,347068,
164,"Calic, Mr. Jovo",3,male,315093,
165,"Panula, Master. Eino Viljami",3,male,3101295,
166,"Goldsmith, Master. Frank John William ""Frankie""",3,male,363291,
167,"Chibnall, Mrs. (Edith Martha Bowerman)",1,female,113505,E33
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",3,female,347088,
169,"Baumann, Mr. John D",1,male,PC 17318,
170,"Ling, Mr. Lee",3,male,1601,
171,"Van der hoef, Mr. Wyckoff",1,male,111240,B19
172,"Rice, Master. Arthur",3,male,382652,
173,"Johnson, Miss. Eleanor Ileen",3,female,347742,
174,"Sivola, Mr. Antti Wilhelm",3,male,STON/O 2. 3101280,
175,"Smith, Mr. James Clinch",1,male,17764,A7
176,"Klasen, Mr. Klas Albin",3,male,350404,
177,"Lefebre, Master. Henry Forbes",3,male,4133,
178,"Isham, Miss. Ann Elizabeth",1,female,PC 17595,C49
179,"Hale, Mr. Reginald",2,male,250653,
180,"Leonard, Mr. Lionel",3,male,LINE,
181,"Sage, Miss. Constance Gladys",3,female,CA. 2343,
182,"Pernot, Mr. Rene",2,male,SC/PARIS 2131,
183,"Asplund, Master. Clarence Gustaf Hugo",3,male,347077,
184,"Becker, Master. Richard F",2,male,230136,F4
185,"Kink-Heilmann, Miss. Luise Gretchen",3,female,315153,
186,"Rood, Mr. Hugh Roscoe",1,male,113767,A32
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",3,female,370365,
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,male,111428,
189,"Bourke, Mr. John",3,male,364849,
190,"Turcin, Mr. Stjepan",3,male,349247,
191,"Pinsky, Mrs. (Rosa)",2,female,234604,
192,"Carbines, Mr. William",2,male,28424,
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",3,female,350046,
194,"Navratil, Master. Michel M",2,male,230080,F2
195,"Brown, Mrs. James Joseph (Margaret Tobin)",1,female,PC 17610,B4
196,"Lurette, Miss. Elise",1,female,PC 17569,B80
197,"Mernagh, Mr. Robert",3,male,368703,
198,"Olsen, Mr. Karl Siegwart Andreas",3,male,4579,
199,"Madigan, Miss. Margaret ""Maggie""",3,female,370370,
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",2,female,248747,
201,"Vande Walle, Mr. Nestor Cyriel",3,male,345770,
202,"Sage, Mr. Frederick",3,male,CA. 2343,
203,"Johanson, Mr. Jakob Alfred",3,male,3101264,
204,"Youseff, Mr. Gerious",3,male,2628,
205,"Cohen, Mr. Gurshon ""Gus""",3,male,A/5 3540,
206,"Strom, Miss. Telma Matilda",3,female,347054,G6
207,"Backstrom, Mr. Karl Alfred",3,male,3101278,
208,"Albimona, Mr. Nassef Cassem",3,male,2699,
209,"Carr, Miss. Helen ""Ellen""",3,female,367231,
210,"Blank, Mr. Henry",1,male,112277,A31
211,"Ali, Mr. Ahmed",3,male,SOTON/O.Q. 3101311,
212,"Cameron, Miss. Clear Annie",2,female,F.C.C. 13528,
213,"Perkin, Mr. John Henry",3,male,A/5 21174,
214,"Givard, Mr. Hans Kristensen",2,male,250646,
215,"Kiernan, Mr. Philip",3,male,367229,
216,"Newell, Miss. Madeleine",1,female,35273,D36
217,"Honkanen, Miss. Eliina",3,female,STON/O2. 3101283,
218,"Jacobsohn, Mr. Sidney Samuel",2,male,243847,
219,"Bazzani, Miss. Albina",1,female,11813,D15
220,"Harris, Mr. Walter",2,male,W/C 14208,
221,"Sunderland, Mr. Victor Francis",3,male,SOTON/OQ 392089,
222,"Bracken, Mr. James H",2,male,220367,
223,"Green, Mr. George Henry",3,male,21440,
224,"Nenkoff, Mr. Christo",3,male,349234,
225,"Hoyt, Mr. Frederick Maxfield",1,male,19943,C93
226,"Berglund, Mr. Karl Ivar Sven",3,male,PP 4348,
227,"Mellors, Mr. William John",2,male,SW/PP 751,
228,"Lovell, Mr. John Hall (""Henry"")",3,male,A/5 21173,
229,"Fahlstrom, Mr. Arne Jonas",2,male,236171,
230,"Lefebre, Miss. Mathilde",3,female,4133,
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,female,36973,C83
232,"Larsson, Mr. Bengt Edvin",3,male,347067,
233,"Sjostedt, Mr. Ernst Adolf",2,male,237442,
234,"Asplund, Miss. Lillian Gertrud",3,female,347077,
235,"Leyson, Mr. Robert William Norman",2,male,C.A. 29566,
236,"Harknett, Miss. Alice Phoebe",3,female,W./C. 6609,
237,"Hold, Mr. Stephen",2,male,26707,
238,"Collyer, Miss. Marjorie ""Lottie""",2,female,C.A. 31921,
239,"Pengelly, Mr. Frederick William",2,male,28665,
240,"Hunt, Mr. George Henry",2,male,SCO/W 1585,
241,"Zabour, Miss. Thamine",3,female,2665,
242,"Murphy, Miss. Katherine ""Kate""",3,female,367230,
243,"Coleridge, Mr. Reginald Charles",2,male,W./C. 14263,
244,"Maenpaa, Mr. Matti Alexanteri",3,male,STON/O 2. 3101275,
245,"Attalah, Mr. Sleiman",3,male,2694,
246,"Minahan, Dr. William Edward",1,male,19928,C78
247,"Lindahl, Miss. Agda Thorilda Viktoria",3,female,347071,
248,"Hamalainen, Mrs. William (Anna)",2,female,250649,
249,"Beckwith, Mr. Richard Leonard",1,male,11751,D35
250,"Carter, Rev. Ernest Courtenay",2,male,244252,
251,"Reed, Mr. James George",3,male,362316,
252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",3,female,347054,G6
253,"Stead, Mr. William Thomas",1,male,113514,C87
254,"Lobb, Mr. William Arthur",3,male,A/5. 3336,
255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",3,female,370129,
256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",3,female,2650,
257,"Thorne, Mrs. Gertrude Maybelle",1,female,PC 17585,
258,"Cherry, Miss. Gladys",1,female,110152,B77
259,"Ward, Miss. Anna",1,female,PC 17755,
260,"Parrish, Mrs. (Lutie Davis)",2,female,230433,
261,"Smith, Mr. Thomas",3,male,384461,
262,"Asplund, Master. Edvin Rojj Felix",3,male,347077,
263,"Taussig, Mr. Emil",1,male,110413,E67
264,"Harrison, Mr. William",1,male,112059,B94
265,"Henry, Miss. Delia",3,female,382649,
266,"Reeves, Mr. David",2,male,C.A. 17248,
267,"Panula, Mr. Ernesti Arvid",3,male,3101295,
268,"Persson, Mr. Ernst Ulrik",3,male,347083,
269,"Graham, Mrs. William Thompson (Edith Junkins)",1,female,PC 17582,C125
270,"Bissette, Miss. Amelia",1,female,PC 17760,C99
271,"Cairns, Mr. Alexander",1,male,113798,
272,"Tornquist, Mr. William Henry",3,male,LINE,
273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",2,female,250644,
274,"Natsch, Mr. Charles H",1,male,PC 17596,C118
275,"Healy, Miss. Hanora ""Nora""",3,female,370375,
276,"Andrews, Miss. Kornelia Theodosia",1,female,13502,D7
277,"Lindblom, Miss. Augusta Charlotta",3,female,347073,
278,"Parkes, Mr. Francis ""Frank""",2,male,239853,
279,"Rice, Master. Eric",3,male,382652,
280,"Abbott, Mrs. Stanton (Rosa Hunt)",3,female,C.A. 2673,
281,"Duane, Mr. Frank",3,male,336439,
282,"Olsson, Mr. Nils Johan Goransson",3,male,347464,
283,"de Pelsmaeker, Mr. Alfons",3,male,345778,
284,"Dorking, Mr. Edward Arthur",3,male,A/5. 10482,
285,"Smith, Mr. Richard William",1,male,113056,A19
286,"Stankovic, Mr. Ivan",3,male,349239,
287,"de Mulder, Mr. Theodore",3,male,345774,
288,"Naidenoff, Mr. Penko",3,male,349206,
289,"Hosono, Mr. Masabumi",2,male,237798,
290,"Connolly, Miss. Kate",3,female,370373,
291,"Barber, Miss. Ellen ""Nellie""",1,female,19877,
292,"Bishop, Mrs. Dickinson H (Helen Walton)",1,female,11967,B49
293,"Levy, Mr. Rene Jacques",2,male,SC/Paris 2163,D
294,"Haas, Miss. Aloisia",3,female,349236,
295,"Mineff, Mr. Ivan",3,male,349233,
296,"Lewy, Mr. Ervin G",1,male,PC 17612,
297,"Hanna, Mr. Mansour",3,male,2693,
298,"Allison, Miss. Helen Loraine",1,female,113781,C22 C26
299,"Saalfeld, Mr. Adolphe",1,male,19988,C106
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,female,PC 17558,B58 B60
301,"Kelly, Miss. Anna Katherine ""Annie Kate""",3,female,9234,
302,"McCoy, Mr. Bernard",3,male,367226,
303,"Johnson, Mr. William Cahoone Jr",3,male,LINE,
304,"Keane, Miss. Nora A",2,female,226593,E101
305,"Williams, Mr. Howard Hugh ""Harry""",3,male,A/5 2466,
306,"Allison, Master. Hudson Trevor",1,male,113781,C22 C26
307,"Fleming, Miss. Margaret",1,female,17421,
308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,female,PC 17758,C65
309,"Abelson, Mr. Samuel",2,male,P/PP 3381,
310,"Francatelli, Miss. Laura Mabel",1,female,PC 17485,E36
311,"Hays, Miss. Margaret Bechstein",1,female,11767,C54
312,"Ryerson, Miss. Emily Borie",1,female,PC 17608,B57 B59 B63 B66
